
############################
training bottle
############################

Type : bottle Train [ Epoch 1/256 iter 1 ] lr: 0.03000, loss: 1.34867, avg_reader_cost: 2.85896 sec, avg_batch_cost: 5.08064 sec, avg_samples: 96.0, avg_ips: 18.89526 images/sec.
Type : bottle Train [ Epoch 1/256 iter 2 ] lr: 0.03000, loss: 0.71292, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.10269 sec, avg_samples: 96.0, avg_ips: 934.85698 images/sec.
Type : bottle Train [ Epoch 1/256 iter 3 ] lr: 0.03000, loss: 0.65832, avg_reader_cost: 0.00009 sec, avg_batch_cost: 0.03219 sec, avg_samples: 17.0, avg_ips: 528.06209 images/sec.
Type : bottle Train [ Epoch 2/256 iter 1 ] lr: 0.03000, loss: 0.55255, avg_reader_cost: 2.56750 sec, avg_batch_cost: 2.67233 sec, avg_samples: 96.0, avg_ips: 35.92374 images/sec.
Type : bottle Train [ Epoch 2/256 iter 2 ] lr: 0.03000, loss: 0.36559, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.10577 sec, avg_samples: 96.0, avg_ips: 907.63495 images/sec.
Type : bottle Train [ Epoch 2/256 iter 3 ] lr: 0.03000, loss: 0.37505, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.03266 sec, avg_samples: 17.0, avg_ips: 520.54467 images/sec.
Type : bottle Train [ Epoch 3/256 iter 1 ] lr: 0.02998, loss: 0.37115, avg_reader_cost: 1.98013 sec, avg_batch_cost: 2.08481 sec, avg_samples: 96.0, avg_ips: 46.04729 images/sec.
Type : bottle Train [ Epoch 3/256 iter 2 ] lr: 0.02998, loss: 0.25799, avg_reader_cost: 0.14576 sec, avg_batch_cost: 0.24890 sec, avg_samples: 96.0, avg_ips: 385.70197 images/sec.
Type : bottle Train [ Epoch 3/256 iter 3 ] lr: 0.02998, loss: 0.29896, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.03274 sec, avg_samples: 17.0, avg_ips: 519.25580 images/sec.
Type : bottle Train [ Epoch 4/256 iter 1 ] lr: 0.02996, loss: 0.27225, avg_reader_cost: 2.48100 sec, avg_batch_cost: 2.58713 sec, avg_samples: 96.0, avg_ips: 37.10675 images/sec.
Type : bottle Train [ Epoch 4/256 iter 2 ] lr: 0.02996, loss: 0.20534, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.10327 sec, avg_samples: 96.0, avg_ips: 929.61441 images/sec.
Type : bottle Train [ Epoch 4/256 iter 3 ] lr: 0.02996, loss: 0.21757, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.03248 sec, avg_samples: 17.0, avg_ips: 523.38362 images/sec.
