
############################
training cable
############################

Type : cable Train [ Epoch 1/256 iter 1 ] lr: 0.03000, loss: 1.27084, avg_reader_cost: 3.55346 sec, avg_batch_cost: 7.45882 sec, avg_samples: 96.0, avg_ips: 12.87067 images/sec.
Type : cable Train [ Epoch 1/256 iter 2 ] lr: 0.03000, loss: 0.96207, avg_reader_cost: 0.00022 sec, avg_batch_cost: 0.11525 sec, avg_samples: 96.0, avg_ips: 832.93826 images/sec.
Type : cable Train [ Epoch 1/256 iter 3 ] lr: 0.03000, loss: 0.73514, avg_reader_cost: 0.00047 sec, avg_batch_cost: 0.06283 sec, avg_samples: 32.0, avg_ips: 509.28981 images/sec.
Type : cable Train [ Epoch 2/256 iter 1 ] lr: 0.03000, loss: 0.65621, avg_reader_cost: 3.25240 sec, avg_batch_cost: 3.37030 sec, avg_samples: 96.0, avg_ips: 28.48412 images/sec.
Type : cable Train [ Epoch 2/256 iter 2 ] lr: 0.03000, loss: 0.56893, avg_reader_cost: 0.00023 sec, avg_batch_cost: 0.11662 sec, avg_samples: 96.0, avg_ips: 823.15568 images/sec.
Type : cable Train [ Epoch 2/256 iter 3 ] lr: 0.03000, loss: 0.59751, avg_reader_cost: 0.00032 sec, avg_batch_cost: 0.05906 sec, avg_samples: 32.0, avg_ips: 541.85599 images/sec.
Type : cable Train [ Epoch 3/256 iter 1 ] lr: 0.02998, loss: 0.49170, avg_reader_cost: 3.11205 sec, avg_batch_cost: 3.22725 sec, avg_samples: 96.0, avg_ips: 29.74668 images/sec.
Type : cable Train [ Epoch 3/256 iter 2 ] lr: 0.02998, loss: 0.39235, avg_reader_cost: 0.00031 sec, avg_batch_cost: 0.11712 sec, avg_samples: 96.0, avg_ips: 819.68529 images/sec.
Type : cable Train [ Epoch 3/256 iter 3 ] lr: 0.02998, loss: 0.37393, avg_reader_cost: 0.00037 sec, avg_batch_cost: 0.06224 sec, avg_samples: 32.0, avg_ips: 514.16340 images/sec.
Type : cable Train [ Epoch 4/256 iter 1 ] lr: 0.02996, loss: 0.30470, avg_reader_cost: 2.78731 sec, avg_batch_cost: 2.90734 sec, avg_samples: 96.0, avg_ips: 33.01982 images/sec.
Type : cable Train [ Epoch 4/256 iter 2 ] lr: 0.02996, loss: 0.30222, avg_reader_cost: 0.07335 sec, avg_batch_cost: 0.19687 sec, avg_samples: 96.0, avg_ips: 487.63417 images/sec.
