
############################
training capsule
############################

Type : capsule Train [ Epoch 1/256 iter 1 ] lr: 0.03000, loss: 1.28881, avg_reader_cost: 2.46646 sec, avg_batch_cost: 4.94863 sec, avg_samples: 96.0, avg_ips: 19.39931 images/sec.
Type : capsule Train [ Epoch 1/256 iter 2 ] lr: 0.03000, loss: 0.78634, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.10701 sec, avg_samples: 96.0, avg_ips: 897.11936 images/sec.
Type : capsule Train [ Epoch 1/256 iter 3 ] lr: 0.03000, loss: 0.58243, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.04244 sec, avg_samples: 27.0, avg_ips: 636.26112 images/sec.
Type : capsule Train [ Epoch 2/256 iter 1 ] lr: 0.03000, loss: 0.62973, avg_reader_cost: 2.68007 sec, avg_batch_cost: 2.78826 sec, avg_samples: 96.0, avg_ips: 34.43004 images/sec.
Type : capsule Train [ Epoch 2/256 iter 2 ] lr: 0.03000, loss: 0.41023, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.10732 sec, avg_samples: 96.0, avg_ips: 894.51650 images/sec.
Type : capsule Train [ Epoch 2/256 iter 3 ] lr: 0.03000, loss: 0.31094, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.04312 sec, avg_samples: 27.0, avg_ips: 626.20591 images/sec.
Type : capsule Train [ Epoch 3/256 iter 1 ] lr: 0.02998, loss: 0.33663, avg_reader_cost: 2.59991 sec, avg_batch_cost: 2.70834 sec, avg_samples: 96.0, avg_ips: 35.44606 images/sec.
Type : capsule Train [ Epoch 3/256 iter 2 ] lr: 0.02998, loss: 0.24062, avg_reader_cost: 0.05148 sec, avg_batch_cost: 0.15714 sec, avg_samples: 96.0, avg_ips: 610.91921 images/sec.
Type : capsule Train [ Epoch 3/256 iter 3 ] lr: 0.02998, loss: 0.25658, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.04230 sec, avg_samples: 27.0, avg_ips: 638.31607 images/sec.
Type : capsule Train [ Epoch 4/256 iter 1 ] lr: 0.02996, loss: 0.25138, avg_reader_cost: 2.67984 sec, avg_batch_cost: 2.78702 sec, avg_samples: 96.0, avg_ips: 34.44543 images/sec.
Type : capsule Train [ Epoch 4/256 iter 2 ] lr: 0.02996, loss: 0.22476, avg_reader_cost: 0.04721 sec, avg_batch_cost: 0.15212 sec, avg_samples: 96.0, avg_ips: 631.09707 images/sec.
Type : capsule Train [ Epoch 4/256 iter 3 ] lr: 0.02996, loss: 0.17318, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.04332 sec, avg_samples: 27.0, avg_ips: 623.31758 images/sec.
Type : capsule Train [ Epoch 5/256 iter 1 ] lr: 0.02993, loss: 0.17833, avg_reader_cost: 2.79181 sec, avg_batch_cost: 2.90139 sec, avg_samples: 96.0, avg_ips: 33.08753 images/sec.
Type : capsule Train [ Epoch 5/256 iter 2 ] lr: 0.02993, loss: 0.20992, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.10432 sec, avg_samples: 96.0, avg_ips: 920.26810 images/sec.
Type : capsule Train [ Epoch 5/256 iter 3 ] lr: 0.02993, loss: 0.22649, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.04347 sec, avg_samples: 27.0, avg_ips: 621.06826 images/sec.
Type : capsule Train [ Epoch 6/256 iter 1 ] lr: 0.02989, loss: 0.17077, avg_reader_cost: 2.71095 sec, avg_batch_cost: 2.81957 sec, avg_samples: 96.0, avg_ips: 34.04772 images/sec.
Type : capsule Train [ Epoch 6/256 iter 2 ] lr: 0.02989, loss: 0.16208, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.10470 sec, avg_samples: 96.0, avg_ips: 916.87961 images/sec.
Type : capsule Train [ Epoch 6/256 iter 3 ] lr: 0.02989, loss: 0.07349, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.04281 sec, avg_samples: 27.0, avg_ips: 630.65216 images/sec.
Type : capsule Train [ Epoch 7/256 iter 1 ] lr: 0.02984, loss: 0.16469, avg_reader_cost: 2.84769 sec, avg_batch_cost: 2.95708 sec, avg_samples: 96.0, avg_ips: 32.46446 images/sec.
Type : capsule Train [ Epoch 7/256 iter 2 ] lr: 0.02984, loss: 0.11979, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.10500 sec, avg_samples: 96.0, avg_ips: 914.31254 images/sec.
Type : capsule Train [ Epoch 7/256 iter 3 ] lr: 0.02984, loss: 0.18547, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.04250 sec, avg_samples: 27.0, avg_ips: 635.25820 images/sec.
Type : capsule Train [ Epoch 8/256 iter 1 ] lr: 0.02978, loss: 0.14904, avg_reader_cost: 2.75120 sec, avg_batch_cost: 2.85812 sec, avg_samples: 96.0, avg_ips: 33.58847 images/sec.
Type : capsule Train [ Epoch 8/256 iter 2 ] lr: 0.02978, loss: 0.16316, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.10425 sec, avg_samples: 96.0, avg_ips: 920.81949 images/sec.
Type : capsule Train [ Epoch 8/256 iter 3 ] lr: 0.02978, loss: 0.17046, avg_reader_cost: 0.00007 sec, avg_batch_cost: 0.04137 sec, avg_samples: 27.0, avg_ips: 652.67828 images/sec.
Type : capsule Test [ Epoch 8/256 ] test_cost: 11.851824 sec max_auc: 0.80535 roc_auc : 0.805345.
Type : capsule Train [ Epoch 9/256 iter 1 ] lr: 0.02971, loss: 0.20715, avg_reader_cost: 3.02708 sec, avg_batch_cost: 3.14265 sec, avg_samples: 96.0, avg_ips: 30.54745 images/sec.
Type : capsule Train [ Epoch 9/256 iter 2 ] lr: 0.02971, loss: 0.11851, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.11238 sec, avg_samples: 96.0, avg_ips: 854.27150 images/sec.
Type : capsule Train [ Epoch 9/256 iter 3 ] lr: 0.02971, loss: 0.10745, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.04929 sec, avg_samples: 27.0, avg_ips: 547.77115 images/sec.
Type : capsule Train [ Epoch 10/256 iter 1 ] lr: 0.02964, loss: 0.10587, avg_reader_cost: 2.14400 sec, avg_batch_cost: 2.25585 sec, avg_samples: 96.0, avg_ips: 42.55606 images/sec.
Type : capsule Train [ Epoch 10/256 iter 2 ] lr: 0.02964, loss: 0.08698, avg_reader_cost: 0.26712 sec, avg_batch_cost: 0.37881 sec, avg_samples: 96.0, avg_ips: 253.42477 images/sec.
Type : capsule Train [ Epoch 10/256 iter 3 ] lr: 0.02964, loss: 0.11396, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.04924 sec, avg_samples: 27.0, avg_ips: 548.30423 images/sec.
Type : capsule Train [ Epoch 11/256 iter 1 ] lr: 0.02955, loss: 0.09209, avg_reader_cost: 2.64879 sec, avg_batch_cost: 2.76231 sec, avg_samples: 96.0, avg_ips: 34.75348 images/sec.
Type : capsule Train [ Epoch 11/256 iter 2 ] lr: 0.02955, loss: 0.10568, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.11103 sec, avg_samples: 96.0, avg_ips: 864.66010 images/sec.
Type : capsule Train [ Epoch 11/256 iter 3 ] lr: 0.02955, loss: 0.13309, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.04981 sec, avg_samples: 27.0, avg_ips: 542.04240 images/sec.
