
############################
training carpet
############################

Type : carpet Train [ Epoch 1/256 iter 1 ] lr: 0.03000, loss: 1.35548, avg_reader_cost: 2.88345 sec, avg_batch_cost: 6.25492 sec, avg_samples: 96.0, avg_ips: 15.34791 images/sec.
Type : carpet Train [ Epoch 1/256 iter 2 ] lr: 0.03000, loss: 1.27409, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.10608 sec, avg_samples: 96.0, avg_ips: 904.98301 images/sec.
Type : carpet Train [ Epoch 1/256 iter 3 ] lr: 0.03000, loss: 1.27497, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.09766 sec, avg_samples: 88.0, avg_ips: 901.04741 images/sec.
Type : carpet Train [ Epoch 2/256 iter 1 ] lr: 0.03000, loss: 1.19815, avg_reader_cost: 2.42197 sec, avg_batch_cost: 2.53513 sec, avg_samples: 96.0, avg_ips: 37.86786 images/sec.
Type : carpet Train [ Epoch 2/256 iter 2 ] lr: 0.03000, loss: 1.21414, avg_reader_cost: 0.05990 sec, avg_batch_cost: 0.17174 sec, avg_samples: 96.0, avg_ips: 558.99752 images/sec.
Type : carpet Train [ Epoch 2/256 iter 3 ] lr: 0.03000, loss: 1.21172, avg_reader_cost: 0.00025 sec, avg_batch_cost: 0.10397 sec, avg_samples: 88.0, avg_ips: 846.42088 images/sec.
Type : carpet Train [ Epoch 3/256 iter 1 ] lr: 0.02998, loss: 1.16088, avg_reader_cost: 2.70685 sec, avg_batch_cost: 2.82334 sec, avg_samples: 96.0, avg_ips: 34.00224 images/sec.
Type : carpet Train [ Epoch 3/256 iter 2 ] lr: 0.02998, loss: 1.17304, avg_reader_cost: 0.00026 sec, avg_batch_cost: 0.11312 sec, avg_samples: 96.0, avg_ips: 848.64855 images/sec.
Type : carpet Train [ Epoch 3/256 iter 3 ] lr: 0.02998, loss: 1.12375, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.10416 sec, avg_samples: 88.0, avg_ips: 844.84770 images/sec.
Type : carpet Train [ Epoch 4/256 iter 1 ] lr: 0.02996, loss: 1.12003, avg_reader_cost: 2.72916 sec, avg_batch_cost: 2.84350 sec, avg_samples: 96.0, avg_ips: 33.76122 images/sec.
Type : carpet Train [ Epoch 4/256 iter 2 ] lr: 0.02996, loss: 1.12652, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.11237 sec, avg_samples: 96.0, avg_ips: 854.32588 images/sec.
