
############################
training grid
############################

Type : grid Train [ Epoch 1/256 iter 1 ] lr: 0.03000, loss: 1.39304, avg_reader_cost: 2.53838 sec, avg_batch_cost: 2.66333 sec, avg_samples: 96.0, avg_ips: 36.04516 images/sec.
Type : grid Train [ Epoch 1/256 iter 2 ] lr: 0.03000, loss: 1.19750, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.11207 sec, avg_samples: 96.0, avg_ips: 856.61777 images/sec.
Type : grid Train [ Epoch 1/256 iter 3 ] lr: 0.03000, loss: 1.14816, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.09643 sec, avg_samples: 72.0, avg_ips: 746.67358 images/sec.
Type : grid Train [ Epoch 2/256 iter 1 ] lr: 0.03000, loss: 1.04951, avg_reader_cost: 2.17768 sec, avg_batch_cost: 2.30105 sec, avg_samples: 96.0, avg_ips: 41.72009 images/sec.
Type : grid Train [ Epoch 2/256 iter 2 ] lr: 0.03000, loss: 0.95252, avg_reader_cost: 0.00023 sec, avg_batch_cost: 0.11514 sec, avg_samples: 96.0, avg_ips: 833.76787 images/sec.
Type : grid Train [ Epoch 2/256 iter 3 ] lr: 0.03000, loss: 0.95976, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.09446 sec, avg_samples: 72.0, avg_ips: 762.19653 images/sec.
Type : grid Train [ Epoch 3/256 iter 1 ] lr: 0.02998, loss: 0.84960, avg_reader_cost: 2.35807 sec, avg_batch_cost: 2.47096 sec, avg_samples: 96.0, avg_ips: 38.85126 images/sec.
Type : grid Train [ Epoch 3/256 iter 2 ] lr: 0.02998, loss: 0.66055, avg_reader_cost: 0.00020 sec, avg_batch_cost: 0.11275 sec, avg_samples: 96.0, avg_ips: 851.41563 images/sec.
Type : grid Train [ Epoch 3/256 iter 3 ] lr: 0.02998, loss: 0.62219, avg_reader_cost: 0.00020 sec, avg_batch_cost: 0.09397 sec, avg_samples: 72.0, avg_ips: 766.21315 images/sec.
Type : grid Train [ Epoch 4/256 iter 1 ] lr: 0.02996, loss: 0.44338, avg_reader_cost: 2.79173 sec, avg_batch_cost: 2.89736 sec, avg_samples: 96.0, avg_ips: 33.13361 images/sec.
Type : grid Train [ Epoch 4/256 iter 2 ] lr: 0.02996, loss: 0.43383, avg_reader_cost: 0.00009 sec, avg_batch_cost: 0.10399 sec, avg_samples: 96.0, avg_ips: 923.14595 images/sec.
Type : grid Train [ Epoch 4/256 iter 3 ] lr: 0.02996, loss: 0.29085, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.08551 sec, avg_samples: 72.0, avg_ips: 841.99020 images/sec.
Type : grid Train [ Epoch 5/256 iter 1 ] lr: 0.02993, loss: 0.30857, avg_reader_cost: 2.28934 sec, avg_batch_cost: 2.39576 sec, avg_samples: 96.0, avg_ips: 40.07072 images/sec.
Type : grid Train [ Epoch 5/256 iter 2 ] lr: 0.02993, loss: 0.21389, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.10600 sec, avg_samples: 96.0, avg_ips: 905.62417 images/sec.
Type : grid Train [ Epoch 5/256 iter 3 ] lr: 0.02993, loss: 0.26175, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.08547 sec, avg_samples: 72.0, avg_ips: 842.44353 images/sec.
Type : grid Train [ Epoch 6/256 iter 1 ] lr: 0.02989, loss: 0.10552, avg_reader_cost: 2.11722 sec, avg_batch_cost: 2.22327 sec, avg_samples: 96.0, avg_ips: 43.17960 images/sec.
Type : grid Train [ Epoch 6/256 iter 2 ] lr: 0.02989, loss: 0.19649, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.10431 sec, avg_samples: 96.0, avg_ips: 920.33120 images/sec.
Type : grid Train [ Epoch 6/256 iter 3 ] lr: 0.02989, loss: 0.07201, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.08651 sec, avg_samples: 72.0, avg_ips: 832.28116 images/sec.
Type : grid Train [ Epoch 7/256 iter 1 ] lr: 0.02984, loss: 0.15520, avg_reader_cost: 1.66893 sec, avg_batch_cost: 1.79463 sec, avg_samples: 96.0, avg_ips: 53.49283 images/sec.
Type : grid Train [ Epoch 7/256 iter 2 ] lr: 0.02984, loss: 0.09363, avg_reader_cost: 0.24304 sec, avg_batch_cost: 0.35828 sec, avg_samples: 96.0, avg_ips: 267.94726 images/sec.
Type : grid Train [ Epoch 7/256 iter 3 ] lr: 0.02984, loss: 0.04947, avg_reader_cost: 0.00022 sec, avg_batch_cost: 0.09600 sec, avg_samples: 72.0, avg_ips: 750.03573 images/sec.
Type : grid Train [ Epoch 8/256 iter 1 ] lr: 0.02978, loss: 0.06448, avg_reader_cost: 2.30256 sec, avg_batch_cost: 2.41561 sec, avg_samples: 96.0, avg_ips: 39.74158 images/sec.
