
############################
training hazelnut
############################

Type : hazelnut Train [ Epoch 1/256 iter 1 ] lr: 0.03000, loss: 1.28789, avg_reader_cost: 3.20340 sec, avg_batch_cost: 3.31736 sec, avg_samples: 96.0, avg_ips: 28.93864 images/sec.
Type : hazelnut Train [ Epoch 1/256 iter 2 ] lr: 0.03000, loss: 1.00367, avg_reader_cost: 0.00009 sec, avg_batch_cost: 0.10496 sec, avg_samples: 96.0, avg_ips: 914.63861 images/sec.
Type : hazelnut Train [ Epoch 1/256 iter 3 ] lr: 0.03000, loss: 0.80837, avg_reader_cost: 0.00028 sec, avg_batch_cost: 0.10536 sec, avg_samples: 96.0, avg_ips: 911.19445 images/sec.
Type : hazelnut Train [ Epoch 1/256 iter 4 ] lr: 0.03000, loss: 0.72889, avg_reader_cost: 0.00030 sec, avg_batch_cost: 0.10541 sec, avg_samples: 96.0, avg_ips: 910.74516 images/sec.
Type : hazelnut Train [ Epoch 1/256 iter 5 ] lr: 0.03000, loss: 0.60421, avg_reader_cost: 0.00008 sec, avg_batch_cost: 0.03561 sec, avg_samples: 7.0, avg_ips: 196.55711 images/sec.
Type : hazelnut Train [ Epoch 2/256 iter 1 ] lr: 0.03000, loss: 0.67506, avg_reader_cost: 2.60299 sec, avg_batch_cost: 2.70914 sec, avg_samples: 96.0, avg_ips: 35.43556 images/sec.
Type : hazelnut Train [ Epoch 2/256 iter 2 ] lr: 0.03000, loss: 0.57234, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.10538 sec, avg_samples: 96.0, avg_ips: 911.01097 images/sec.
Type : hazelnut Train [ Epoch 2/256 iter 3 ] lr: 0.03000, loss: 0.51271, avg_reader_cost: 0.00009 sec, avg_batch_cost: 0.10628 sec, avg_samples: 96.0, avg_ips: 903.31415 images/sec.
Type : hazelnut Train [ Epoch 2/256 iter 4 ] lr: 0.03000, loss: 0.47795, avg_reader_cost: 0.00007 sec, avg_batch_cost: 0.10544 sec, avg_samples: 96.0, avg_ips: 910.47950 images/sec.
Type : hazelnut Train [ Epoch 2/256 iter 5 ] lr: 0.03000, loss: 0.38883, avg_reader_cost: 0.00007 sec, avg_batch_cost: 0.02937 sec, avg_samples: 7.0, avg_ips: 238.30886 images/sec.
Type : hazelnut Train [ Epoch 3/256 iter 1 ] lr: 0.02998, loss: 0.40824, avg_reader_cost: 2.52831 sec, avg_batch_cost: 2.64065 sec, avg_samples: 96.0, avg_ips: 36.35472 images/sec.
Type : hazelnut Train [ Epoch 3/256 iter 2 ] lr: 0.02998, loss: 0.44787, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.11127 sec, avg_samples: 96.0, avg_ips: 862.76663 images/sec.
Type : hazelnut Train [ Epoch 3/256 iter 3 ] lr: 0.02998, loss: 0.39930, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.11065 sec, avg_samples: 96.0, avg_ips: 867.58510 images/sec.
Type : hazelnut Train [ Epoch 3/256 iter 4 ] lr: 0.02998, loss: 0.43315, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.11134 sec, avg_samples: 96.0, avg_ips: 862.19762 images/sec.
Type : hazelnut Train [ Epoch 3/256 iter 5 ] lr: 0.02998, loss: 0.13588, avg_reader_cost: 0.00009 sec, avg_batch_cost: 0.03602 sec, avg_samples: 7.0, avg_ips: 194.34655 images/sec.
Type : hazelnut Train [ Epoch 4/256 iter 1 ] lr: 0.02996, loss: 0.38663, avg_reader_cost: 2.06425 sec, avg_batch_cost: 2.17042 sec, avg_samples: 96.0, avg_ips: 44.23113 images/sec.
Type : hazelnut Train [ Epoch 4/256 iter 2 ] lr: 0.02996, loss: 0.32517, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.10494 sec, avg_samples: 96.0, avg_ips: 914.78407 images/sec.
Type : hazelnut Train [ Epoch 4/256 iter 3 ] lr: 0.02996, loss: 0.37688, avg_reader_cost: 0.00008 sec, avg_batch_cost: 0.10446 sec, avg_samples: 96.0, avg_ips: 918.99527 images/sec.
Type : hazelnut Train [ Epoch 4/256 iter 4 ] lr: 0.02996, loss: 0.36017, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.10455 sec, avg_samples: 96.0, avg_ips: 918.22615 images/sec.
Type : hazelnut Train [ Epoch 4/256 iter 5 ] lr: 0.02996, loss: 0.34522, avg_reader_cost: 0.00007 sec, avg_batch_cost: 0.02508 sec, avg_samples: 7.0, avg_ips: 279.14705 images/sec.
Type : hazelnut Train [ Epoch 5/256 iter 1 ] lr: 0.02993, loss: 0.34230, avg_reader_cost: 2.03461 sec, avg_batch_cost: 2.14038 sec, avg_samples: 96.0, avg_ips: 44.85179 images/sec.
Type : hazelnut Train [ Epoch 5/256 iter 2 ] lr: 0.02993, loss: 0.41818, avg_reader_cost: 0.06607 sec, avg_batch_cost: 0.16973 sec, avg_samples: 96.0, avg_ips: 565.59166 images/sec.
Type : hazelnut Train [ Epoch 5/256 iter 3 ] lr: 0.02993, loss: 0.33490, avg_reader_cost: 0.00009 sec, avg_batch_cost: 0.10661 sec, avg_samples: 96.0, avg_ips: 900.45572 images/sec.
Type : hazelnut Train [ Epoch 5/256 iter 4 ] lr: 0.02993, loss: 0.30199, avg_reader_cost: 0.00009 sec, avg_batch_cost: 0.10414 sec, avg_samples: 96.0, avg_ips: 921.84194 images/sec.
Type : hazelnut Train [ Epoch 5/256 iter 5 ] lr: 0.02993, loss: 0.07450, avg_reader_cost: 0.00007 sec, avg_batch_cost: 0.02495 sec, avg_samples: 7.0, avg_ips: 280.50988 images/sec.
Type : hazelnut Train [ Epoch 6/256 iter 1 ] lr: 0.02989, loss: 0.34326, avg_reader_cost: 1.94964 sec, avg_batch_cost: 2.05494 sec, avg_samples: 96.0, avg_ips: 46.71663 images/sec.
Type : hazelnut Train [ Epoch 6/256 iter 2 ] lr: 0.02989, loss: 0.34716, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.10512 sec, avg_samples: 96.0, avg_ips: 913.22386 images/sec.
Type : hazelnut Train [ Epoch 6/256 iter 3 ] lr: 0.02989, loss: 0.29004, avg_reader_cost: 0.00009 sec, avg_batch_cost: 0.10579 sec, avg_samples: 96.0, avg_ips: 907.44267 images/sec.
Type : hazelnut Train [ Epoch 6/256 iter 4 ] lr: 0.02989, loss: 0.27574, avg_reader_cost: 0.00024 sec, avg_batch_cost: 0.10483 sec, avg_samples: 96.0, avg_ips: 915.76815 images/sec.
Type : hazelnut Train [ Epoch 6/256 iter 5 ] lr: 0.02989, loss: 0.22982, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.02586 sec, avg_samples: 7.0, avg_ips: 270.69007 images/sec.
Type : hazelnut Train [ Epoch 7/256 iter 1 ] lr: 0.02984, loss: 0.26731, avg_reader_cost: 1.95252 sec, avg_batch_cost: 2.05742 sec, avg_samples: 96.0, avg_ips: 46.66046 images/sec.
