
############################
training leather
############################

Type : leather Train [ Epoch 1/256 iter 1 ] lr: 0.03000, loss: 1.35679, avg_reader_cost: 2.26282 sec, avg_batch_cost: 2.38521 sec, avg_samples: 96.0, avg_ips: 40.24801 images/sec.
Type : leather Train [ Epoch 1/256 iter 2 ] lr: 0.03000, loss: 1.10775, avg_reader_cost: 0.17831 sec, avg_batch_cost: 0.28835 sec, avg_samples: 96.0, avg_ips: 332.92916 images/sec.
Type : leather Train [ Epoch 1/256 iter 3 ] lr: 0.03000, loss: 0.91349, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.07378 sec, avg_samples: 53.0, avg_ips: 718.34895 images/sec.
Type : leather Train [ Epoch 2/256 iter 1 ] lr: 0.03000, loss: 0.82563, avg_reader_cost: 2.04050 sec, avg_batch_cost: 2.15184 sec, avg_samples: 96.0, avg_ips: 44.61303 images/sec.
Type : leather Train [ Epoch 2/256 iter 2 ] lr: 0.03000, loss: 0.74566, avg_reader_cost: 0.20197 sec, avg_batch_cost: 0.31232 sec, avg_samples: 96.0, avg_ips: 307.37494 images/sec.
Type : leather Train [ Epoch 2/256 iter 3 ] lr: 0.03000, loss: 0.68517, avg_reader_cost: 0.00022 sec, avg_batch_cost: 0.07431 sec, avg_samples: 53.0, avg_ips: 713.19343 images/sec.
Type : leather Train [ Epoch 3/256 iter 1 ] lr: 0.02998, loss: 0.63319, avg_reader_cost: 2.57903 sec, avg_batch_cost: 2.69127 sec, avg_samples: 96.0, avg_ips: 35.67089 images/sec.
Type : leather Train [ Epoch 3/256 iter 2 ] lr: 0.02998, loss: 0.60806, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.10953 sec, avg_samples: 96.0, avg_ips: 876.48196 images/sec.
Type : leather Train [ Epoch 3/256 iter 3 ] lr: 0.02998, loss: 0.52374, avg_reader_cost: 0.00008 sec, avg_batch_cost: 0.07285 sec, avg_samples: 53.0, avg_ips: 727.52242 images/sec.
Type : leather Train [ Epoch 4/256 iter 1 ] lr: 0.02996, loss: 0.45535, avg_reader_cost: 2.45566 sec, avg_batch_cost: 2.56885 sec, avg_samples: 96.0, avg_ips: 37.37080 images/sec.
Type : leather Train [ Epoch 4/256 iter 2 ] lr: 0.02996, loss: 0.35985, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.11157 sec, avg_samples: 96.0, avg_ips: 860.43992 images/sec.
Type : leather Train [ Epoch 4/256 iter 3 ] lr: 0.02996, loss: 0.32209, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.07404 sec, avg_samples: 53.0, avg_ips: 715.87139 images/sec.
Type : leather Train [ Epoch 5/256 iter 1 ] lr: 0.02993, loss: 0.24883, avg_reader_cost: 2.59077 sec, avg_batch_cost: 2.70320 sec, avg_samples: 96.0, avg_ips: 35.51352 images/sec.
Type : leather Train [ Epoch 5/256 iter 2 ] lr: 0.02993, loss: 0.31757, avg_reader_cost: 0.00021 sec, avg_batch_cost: 0.11254 sec, avg_samples: 96.0, avg_ips: 853.05890 images/sec.
Type : leather Train [ Epoch 5/256 iter 3 ] lr: 0.02993, loss: 0.31100, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.07299 sec, avg_samples: 53.0, avg_ips: 726.12983 images/sec.
