
############################
training metal_nut
############################

Type : metal_nut Train [ Epoch 1/256 iter 1 ] lr: 0.03000, loss: 1.65859, avg_reader_cost: 2.59916 sec, avg_batch_cost: 2.72412 sec, avg_samples: 96.0, avg_ips: 35.24075 images/sec.
Type : metal_nut Train [ Epoch 1/256 iter 2 ] lr: 0.03000, loss: 1.17079, avg_reader_cost: 0.30397 sec, avg_batch_cost: 0.41770 sec, avg_samples: 96.0, avg_ips: 229.82947 images/sec.
Type : metal_nut Train [ Epoch 1/256 iter 3 ] lr: 0.03000, loss: 0.94325, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.05217 sec, avg_samples: 28.0, avg_ips: 536.66238 images/sec.
Type : metal_nut Train [ Epoch 2/256 iter 1 ] lr: 0.03000, loss: 0.77081, avg_reader_cost: 2.71026 sec, avg_batch_cost: 2.82444 sec, avg_samples: 96.0, avg_ips: 33.98907 images/sec.
Type : metal_nut Train [ Epoch 2/256 iter 2 ] lr: 0.03000, loss: 0.67714, avg_reader_cost: 0.00022 sec, avg_batch_cost: 0.11329 sec, avg_samples: 96.0, avg_ips: 847.39120 images/sec.
Type : metal_nut Train [ Epoch 2/256 iter 3 ] lr: 0.03000, loss: 0.53702, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.05222 sec, avg_samples: 28.0, avg_ips: 536.24335 images/sec.
Type : metal_nut Train [ Epoch 3/256 iter 1 ] lr: 0.02998, loss: 0.47691, avg_reader_cost: 2.55351 sec, avg_batch_cost: 2.66724 sec, avg_samples: 96.0, avg_ips: 35.99222 images/sec.
Type : metal_nut Train [ Epoch 3/256 iter 2 ] lr: 0.02998, loss: 0.39398, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.11381 sec, avg_samples: 96.0, avg_ips: 843.47708 images/sec.
Type : metal_nut Train [ Epoch 3/256 iter 3 ] lr: 0.02998, loss: 0.35917, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.05239 sec, avg_samples: 28.0, avg_ips: 534.40836 images/sec.
Type : metal_nut Train [ Epoch 4/256 iter 1 ] lr: 0.02996, loss: 0.34346, avg_reader_cost: 2.42326 sec, avg_batch_cost: 2.53790 sec, avg_samples: 96.0, avg_ips: 37.82656 images/sec.
Type : metal_nut Train [ Epoch 4/256 iter 2 ] lr: 0.02996, loss: 0.29101, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.11094 sec, avg_samples: 96.0, avg_ips: 865.29930 images/sec.
Type : metal_nut Train [ Epoch 4/256 iter 3 ] lr: 0.02996, loss: 0.36306, avg_reader_cost: 0.00020 sec, avg_batch_cost: 0.05209 sec, avg_samples: 28.0, avg_ips: 537.48272 images/sec.
Type : metal_nut Train [ Epoch 5/256 iter 1 ] lr: 0.02993, loss: 0.29437, avg_reader_cost: 2.73891 sec, avg_batch_cost: 2.85204 sec, avg_samples: 96.0, avg_ips: 33.66014 images/sec.
Type : metal_nut Train [ Epoch 5/256 iter 2 ] lr: 0.02993, loss: 0.20939, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.11150 sec, avg_samples: 96.0, avg_ips: 860.99740 images/sec.
Type : metal_nut Train [ Epoch 5/256 iter 3 ] lr: 0.02993, loss: 0.30747, avg_reader_cost: 0.00023 sec, avg_batch_cost: 0.05209 sec, avg_samples: 28.0, avg_ips: 537.49994 images/sec.
Type : metal_nut Train [ Epoch 6/256 iter 1 ] lr: 0.02989, loss: 0.23969, avg_reader_cost: 2.52050 sec, avg_batch_cost: 2.63259 sec, avg_samples: 96.0, avg_ips: 36.46595 images/sec.
Type : metal_nut Train [ Epoch 6/256 iter 2 ] lr: 0.02989, loss: 0.23624, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.11110 sec, avg_samples: 96.0, avg_ips: 864.09230 images/sec.
Type : metal_nut Train [ Epoch 6/256 iter 3 ] lr: 0.02989, loss: 0.26426, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.05146 sec, avg_samples: 28.0, avg_ips: 544.10156 images/sec.
Type : metal_nut Train [ Epoch 7/256 iter 1 ] lr: 0.02984, loss: 0.23876, avg_reader_cost: 2.69732 sec, avg_batch_cost: 2.81144 sec, avg_samples: 96.0, avg_ips: 34.14621 images/sec.
Type : metal_nut Train [ Epoch 7/256 iter 2 ] lr: 0.02984, loss: 0.21351, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.11192 sec, avg_samples: 96.0, avg_ips: 857.78387 images/sec.
Type : metal_nut Train [ Epoch 7/256 iter 3 ] lr: 0.02984, loss: 0.18882, avg_reader_cost: 0.00021 sec, avg_batch_cost: 0.05255 sec, avg_samples: 28.0, avg_ips: 532.83476 images/sec.
