
############################
training pill
############################

Type : pill Train [ Epoch 1/256 iter 1 ] lr: 0.03000, loss: 1.44794, avg_reader_cost: 2.52006 sec, avg_batch_cost: 2.64218 sec, avg_samples: 96.0, avg_ips: 36.33365 images/sec.
Type : pill Train [ Epoch 1/256 iter 2 ] lr: 0.03000, loss: 0.88170, avg_reader_cost: 0.21813 sec, avg_batch_cost: 0.32825 sec, avg_samples: 96.0, avg_ips: 292.46071 images/sec.
Type : pill Train [ Epoch 1/256 iter 3 ] lr: 0.03000, loss: 0.69295, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.09365 sec, avg_samples: 75.0, avg_ips: 800.84317 images/sec.
Type : pill Train [ Epoch 2/256 iter 1 ] lr: 0.03000, loss: 0.58025, avg_reader_cost: 2.45393 sec, avg_batch_cost: 2.56052 sec, avg_samples: 96.0, avg_ips: 37.49242 images/sec.
Type : pill Train [ Epoch 2/256 iter 2 ] lr: 0.03000, loss: 0.48463, avg_reader_cost: 0.00008 sec, avg_batch_cost: 0.10392 sec, avg_samples: 96.0, avg_ips: 923.81099 images/sec.
Type : pill Train [ Epoch 2/256 iter 3 ] lr: 0.03000, loss: 0.47208, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.08830 sec, avg_samples: 75.0, avg_ips: 849.36346 images/sec.
Type : pill Train [ Epoch 3/256 iter 1 ] lr: 0.02998, loss: 0.40885, avg_reader_cost: 3.02839 sec, avg_batch_cost: 3.14120 sec, avg_samples: 96.0, avg_ips: 30.56160 images/sec.
Type : pill Train [ Epoch 3/256 iter 2 ] lr: 0.02998, loss: 0.38721, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.11035 sec, avg_samples: 96.0, avg_ips: 869.96006 images/sec.
Type : pill Train [ Epoch 3/256 iter 3 ] lr: 0.02998, loss: 0.38025, avg_reader_cost: 0.00009 sec, avg_batch_cost: 0.09353 sec, avg_samples: 75.0, avg_ips: 801.86591 images/sec.
Type : pill Train [ Epoch 4/256 iter 1 ] lr: 0.02996, loss: 0.37126, avg_reader_cost: 2.87714 sec, avg_batch_cost: 2.98964 sec, avg_samples: 96.0, avg_ips: 32.11088 images/sec.
Type : pill Train [ Epoch 4/256 iter 2 ] lr: 0.02996, loss: 0.36212, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.11410 sec, avg_samples: 96.0, avg_ips: 841.37792 images/sec.
Type : pill Train [ Epoch 4/256 iter 3 ] lr: 0.02996, loss: 0.32085, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.09515 sec, avg_samples: 75.0, avg_ips: 788.26274 images/sec.
Type : pill Train [ Epoch 5/256 iter 1 ] lr: 0.02993, loss: 0.32361, avg_reader_cost: 2.07229 sec, avg_batch_cost: 2.18420 sec, avg_samples: 96.0, avg_ips: 43.95210 images/sec.
Type : pill Train [ Epoch 5/256 iter 2 ] lr: 0.02993, loss: 0.34408, avg_reader_cost: 0.28574 sec, avg_batch_cost: 0.39720 sec, avg_samples: 96.0, avg_ips: 241.69410 images/sec.
Type : pill Train [ Epoch 5/256 iter 3 ] lr: 0.02993, loss: 0.35108, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.09309 sec, avg_samples: 75.0, avg_ips: 805.68175 images/sec.
Type : pill Train [ Epoch 6/256 iter 1 ] lr: 0.02989, loss: 0.33883, avg_reader_cost: 2.90789 sec, avg_batch_cost: 3.02442 sec, avg_samples: 96.0, avg_ips: 31.74166 images/sec.
