
############################
training screw
############################

Type : screw Train [ Epoch 1/256 iter 1 ] lr: 0.03000, loss: 1.37042, avg_reader_cost: 3.31125 sec, avg_batch_cost: 7.53007 sec, avg_samples: 96.0, avg_ips: 12.74889 images/sec.
Type : screw Train [ Epoch 1/256 iter 2 ] lr: 0.03000, loss: 1.03780, avg_reader_cost: 0.00024 sec, avg_batch_cost: 0.11425 sec, avg_samples: 96.0, avg_ips: 840.29631 images/sec.
Type : screw Train [ Epoch 1/256 iter 3 ] lr: 0.03000, loss: 0.99755, avg_reader_cost: 0.00022 sec, avg_batch_cost: 0.11445 sec, avg_samples: 96.0, avg_ips: 838.76120 images/sec.
Type : screw Train [ Epoch 1/256 iter 4 ] lr: 0.03000, loss: 0.92509, avg_reader_cost: 0.00024 sec, avg_batch_cost: 0.05697 sec, avg_samples: 32.0, avg_ips: 561.66270 images/sec.
Type : screw Train [ Epoch 2/256 iter 1 ] lr: 0.03000, loss: 0.73423, avg_reader_cost: 2.75989 sec, avg_batch_cost: 2.87570 sec, avg_samples: 96.0, avg_ips: 33.38318 images/sec.
Type : screw Train [ Epoch 2/256 iter 2 ] lr: 0.03000, loss: 0.68045, avg_reader_cost: 0.00023 sec, avg_batch_cost: 0.11772 sec, avg_samples: 96.0, avg_ips: 815.51664 images/sec.
Type : screw Train [ Epoch 2/256 iter 3 ] lr: 0.03000, loss: 0.58449, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.11295 sec, avg_samples: 96.0, avg_ips: 849.94192 images/sec.
Type : screw Train [ Epoch 2/256 iter 4 ] lr: 0.03000, loss: 0.49297, avg_reader_cost: 0.00026 sec, avg_batch_cost: 0.05759 sec, avg_samples: 32.0, avg_ips: 555.66345 images/sec.
Type : screw Train [ Epoch 3/256 iter 1 ] lr: 0.02998, loss: 0.50687, avg_reader_cost: 2.32166 sec, avg_batch_cost: 2.43840 sec, avg_samples: 96.0, avg_ips: 39.37001 images/sec.
Type : screw Train [ Epoch 3/256 iter 2 ] lr: 0.02998, loss: 0.47370, avg_reader_cost: 0.00025 sec, avg_batch_cost: 0.11420 sec, avg_samples: 96.0, avg_ips: 840.64718 images/sec.
Type : screw Train [ Epoch 3/256 iter 3 ] lr: 0.02998, loss: 0.41428, avg_reader_cost: 0.00026 sec, avg_batch_cost: 0.11398 sec, avg_samples: 96.0, avg_ips: 842.23324 images/sec.
