
############################
training tile
############################

Type : tile Train [ Epoch 1/256 iter 1 ] lr: 0.03000, loss: 1.34796, avg_reader_cost: 3.45047 sec, avg_batch_cost: 3.57652 sec, avg_samples: 96.0, avg_ips: 26.84177 images/sec.
Type : tile Train [ Epoch 1/256 iter 2 ] lr: 0.03000, loss: 1.25034, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.11229 sec, avg_samples: 96.0, avg_ips: 854.92992 images/sec.
Type : tile Train [ Epoch 1/256 iter 3 ] lr: 0.03000, loss: 1.07077, avg_reader_cost: 0.00020 sec, avg_batch_cost: 0.06582 sec, avg_samples: 38.0, avg_ips: 577.29048 images/sec.
Type : tile Train [ Epoch 2/256 iter 1 ] lr: 0.03000, loss: 1.07482, avg_reader_cost: 2.59994 sec, avg_batch_cost: 2.71560 sec, avg_samples: 96.0, avg_ips: 35.35128 images/sec.
Type : tile Train [ Epoch 2/256 iter 2 ] lr: 0.03000, loss: 1.02682, avg_reader_cost: 0.00026 sec, avg_batch_cost: 0.11371 sec, avg_samples: 96.0, avg_ips: 844.28533 images/sec.
Type : tile Train [ Epoch 2/256 iter 3 ] lr: 0.03000, loss: 0.94886, avg_reader_cost: 0.00021 sec, avg_batch_cost: 0.06169 sec, avg_samples: 38.0, avg_ips: 615.99413 images/sec.
Type : tile Train [ Epoch 3/256 iter 1 ] lr: 0.02998, loss: 1.01029, avg_reader_cost: 2.67855 sec, avg_batch_cost: 2.79204 sec, avg_samples: 96.0, avg_ips: 34.38349 images/sec.
Type : tile Train [ Epoch 3/256 iter 2 ] lr: 0.02998, loss: 0.95519, avg_reader_cost: 0.00028 sec, avg_batch_cost: 0.11328 sec, avg_samples: 96.0, avg_ips: 847.48217 images/sec.
Type : tile Train [ Epoch 3/256 iter 3 ] lr: 0.02998, loss: 0.65251, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.06085 sec, avg_samples: 38.0, avg_ips: 624.45561 images/sec.
Type : tile Train [ Epoch 4/256 iter 1 ] lr: 0.02996, loss: 0.64909, avg_reader_cost: 2.76128 sec, avg_batch_cost: 2.87423 sec, avg_samples: 96.0, avg_ips: 33.40028 images/sec.
Type : tile Train [ Epoch 4/256 iter 2 ] lr: 0.02996, loss: 0.53570, avg_reader_cost: 0.00022 sec, avg_batch_cost: 0.11291 sec, avg_samples: 96.0, avg_ips: 850.22369 images/sec.
Type : tile Train [ Epoch 4/256 iter 3 ] lr: 0.02996, loss: 0.52833, avg_reader_cost: 0.00021 sec, avg_batch_cost: 0.06071 sec, avg_samples: 38.0, avg_ips: 625.93193 images/sec.
Type : tile Train [ Epoch 5/256 iter 1 ] lr: 0.02993, loss: 0.44992, avg_reader_cost: 2.88856 sec, avg_batch_cost: 3.00162 sec, avg_samples: 96.0, avg_ips: 31.98270 images/sec.
Type : tile Train [ Epoch 5/256 iter 2 ] lr: 0.02993, loss: 0.42874, avg_reader_cost: 0.00032 sec, avg_batch_cost: 0.11328 sec, avg_samples: 96.0, avg_ips: 847.45719 images/sec.
Type : tile Train [ Epoch 5/256 iter 3 ] lr: 0.02993, loss: 0.35091, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.06090 sec, avg_samples: 38.0, avg_ips: 623.99111 images/sec.
Type : tile Train [ Epoch 6/256 iter 1 ] lr: 0.02989, loss: 0.31130, avg_reader_cost: 2.60461 sec, avg_batch_cost: 2.71812 sec, avg_samples: 96.0, avg_ips: 35.31855 images/sec.
Type : tile Train [ Epoch 6/256 iter 2 ] lr: 0.02989, loss: 0.38438, avg_reader_cost: 0.00024 sec, avg_batch_cost: 0.11299 sec, avg_samples: 96.0, avg_ips: 849.59759 images/sec.
Type : tile Train [ Epoch 6/256 iter 3 ] lr: 0.02989, loss: 0.30125, avg_reader_cost: 0.00020 sec, avg_batch_cost: 0.06349 sec, avg_samples: 38.0, avg_ips: 598.55623 images/sec.
Type : tile Train [ Epoch 7/256 iter 1 ] lr: 0.02984, loss: 0.23130, avg_reader_cost: 2.98281 sec, avg_batch_cost: 3.09753 sec, avg_samples: 96.0, avg_ips: 30.99243 images/sec.
Type : tile Train [ Epoch 7/256 iter 2 ] lr: 0.02984, loss: 0.25968, avg_reader_cost: 0.00022 sec, avg_batch_cost: 0.11565 sec, avg_samples: 96.0, avg_ips: 830.08952 images/sec.
Type : tile Train [ Epoch 7/256 iter 3 ] lr: 0.02984, loss: 0.14099, avg_reader_cost: 0.00023 sec, avg_batch_cost: 0.06177 sec, avg_samples: 38.0, avg_ips: 615.15487 images/sec.
Type : tile Train [ Epoch 8/256 iter 1 ] lr: 0.02978, loss: 0.16148, avg_reader_cost: 2.90046 sec, avg_batch_cost: 3.01412 sec, avg_samples: 96.0, avg_ips: 31.85009 images/sec.
Type : tile Train [ Epoch 8/256 iter 2 ] lr: 0.02978, loss: 0.17696, avg_reader_cost: 0.00025 sec, avg_batch_cost: 0.11453 sec, avg_samples: 96.0, avg_ips: 838.19723 images/sec.
Type : tile Train [ Epoch 8/256 iter 3 ] lr: 0.02978, loss: 0.19012, avg_reader_cost: 0.00042 sec, avg_batch_cost: 0.06432 sec, avg_samples: 38.0, avg_ips: 590.82369 images/sec.
Type : tile Test [ Epoch 8/256 ] test_cost: 8.679382 sec max_auc: 0.85462 roc_auc : 0.854618.
Type : tile Train [ Epoch 9/256 iter 1 ] lr: 0.02971, loss: 0.17111, avg_reader_cost: 2.88460 sec, avg_batch_cost: 3.01206 sec, avg_samples: 96.0, avg_ips: 31.87183 images/sec.
Type : tile Train [ Epoch 9/256 iter 2 ] lr: 0.02971, loss: 0.12859, avg_reader_cost: 0.00025 sec, avg_batch_cost: 0.11480 sec, avg_samples: 96.0, avg_ips: 836.21279 images/sec.
Type : tile Train [ Epoch 9/256 iter 3 ] lr: 0.02971, loss: 0.15934, avg_reader_cost: 0.00025 sec, avg_batch_cost: 0.06244 sec, avg_samples: 38.0, avg_ips: 608.61292 images/sec.
Type : tile Train [ Epoch 10/256 iter 1 ] lr: 0.02964, loss: 0.11966, avg_reader_cost: 2.66511 sec, avg_batch_cost: 2.77746 sec, avg_samples: 96.0, avg_ips: 34.56398 images/sec.
Type : tile Train [ Epoch 10/256 iter 2 ] lr: 0.02964, loss: 0.15677, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.11347 sec, avg_samples: 96.0, avg_ips: 846.05402 images/sec.
