
############################
training transistor
############################

Type : transistor Train [ Epoch 1/256 iter 1 ] lr: 0.03000, loss: 1.34966, avg_reader_cost: 3.54029 sec, avg_batch_cost: 3.66641 sec, avg_samples: 96.0, avg_ips: 26.18364 images/sec.
Type : transistor Train [ Epoch 1/256 iter 2 ] lr: 0.03000, loss: 1.05281, avg_reader_cost: 0.00024 sec, avg_batch_cost: 0.11251 sec, avg_samples: 96.0, avg_ips: 853.23243 images/sec.
Type : transistor Train [ Epoch 1/256 iter 3 ] lr: 0.03000, loss: 0.81346, avg_reader_cost: 0.00023 sec, avg_batch_cost: 0.04531 sec, avg_samples: 21.0, avg_ips: 463.45901 images/sec.
Type : transistor Train [ Epoch 2/256 iter 1 ] lr: 0.03000, loss: 0.72305, avg_reader_cost: 2.11663 sec, avg_batch_cost: 2.23001 sec, avg_samples: 96.0, avg_ips: 43.04906 images/sec.
Type : transistor Train [ Epoch 2/256 iter 2 ] lr: 0.03000, loss: 0.65443, avg_reader_cost: 0.15873 sec, avg_batch_cost: 0.27185 sec, avg_samples: 96.0, avg_ips: 353.13609 images/sec.
Type : transistor Train [ Epoch 2/256 iter 3 ] lr: 0.03000, loss: 0.57964, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.04529 sec, avg_samples: 21.0, avg_ips: 463.68835 images/sec.
Type : transistor Train [ Epoch 3/256 iter 1 ] lr: 0.02998, loss: 0.60344, avg_reader_cost: 2.71308 sec, avg_batch_cost: 2.82841 sec, avg_samples: 96.0, avg_ips: 33.94134 images/sec.
Type : transistor Train [ Epoch 3/256 iter 2 ] lr: 0.02998, loss: 0.55941, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.11556 sec, avg_samples: 96.0, avg_ips: 830.76945 images/sec.
Type : transistor Train [ Epoch 3/256 iter 3 ] lr: 0.02998, loss: 0.50914, avg_reader_cost: 0.00023 sec, avg_batch_cost: 0.04669 sec, avg_samples: 21.0, avg_ips: 449.74308 images/sec.
Type : transistor Train [ Epoch 4/256 iter 1 ] lr: 0.02996, loss: 0.54890, avg_reader_cost: 2.52275 sec, avg_batch_cost: 2.63573 sec, avg_samples: 96.0, avg_ips: 36.42252 images/sec.
Type : transistor Train [ Epoch 4/256 iter 2 ] lr: 0.02996, loss: 0.50825, avg_reader_cost: 0.05280 sec, avg_batch_cost: 0.16467 sec, avg_samples: 96.0, avg_ips: 582.97828 images/sec.
Type : transistor Train [ Epoch 4/256 iter 3 ] lr: 0.02996, loss: 0.42690, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.04528 sec, avg_samples: 21.0, avg_ips: 463.74938 images/sec.
Type : transistor Train [ Epoch 5/256 iter 1 ] lr: 0.02993, loss: 0.46009, avg_reader_cost: 2.80835 sec, avg_batch_cost: 2.92402 sec, avg_samples: 96.0, avg_ips: 32.83157 images/sec.
Type : transistor Train [ Epoch 5/256 iter 2 ] lr: 0.02993, loss: 0.39591, avg_reader_cost: 0.00030 sec, avg_batch_cost: 0.11411 sec, avg_samples: 96.0, avg_ips: 841.31639 images/sec.
Type : transistor Train [ Epoch 5/256 iter 3 ] lr: 0.02993, loss: 0.39199, avg_reader_cost: 0.00023 sec, avg_batch_cost: 0.04680 sec, avg_samples: 21.0, avg_ips: 448.70750 images/sec.
Type : transistor Train [ Epoch 6/256 iter 1 ] lr: 0.02989, loss: 0.38030, avg_reader_cost: 2.65295 sec, avg_batch_cost: 2.76983 sec, avg_samples: 96.0, avg_ips: 34.65915 images/sec.
Type : transistor Train [ Epoch 6/256 iter 2 ] lr: 0.02989, loss: 0.38949, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.11190 sec, avg_samples: 96.0, avg_ips: 857.90084 images/sec.
Type : transistor Train [ Epoch 6/256 iter 3 ] lr: 0.02989, loss: 0.31591, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.04434 sec, avg_samples: 21.0, avg_ips: 473.60138 images/sec.
Type : transistor Train [ Epoch 7/256 iter 1 ] lr: 0.02984, loss: 0.30771, avg_reader_cost: 2.62476 sec, avg_batch_cost: 2.73976 sec, avg_samples: 96.0, avg_ips: 35.03960 images/sec.
Type : transistor Train [ Epoch 7/256 iter 2 ] lr: 0.02984, loss: 0.29518, avg_reader_cost: 0.00038 sec, avg_batch_cost: 0.11381 sec, avg_samples: 96.0, avg_ips: 843.51949 images/sec.
Type : transistor Train [ Epoch 7/256 iter 3 ] lr: 0.02984, loss: 0.40478, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.04544 sec, avg_samples: 21.0, avg_ips: 462.14103 images/sec.
Type : transistor Train [ Epoch 8/256 iter 1 ] lr: 0.02978, loss: 0.27172, avg_reader_cost: 2.89920 sec, avg_batch_cost: 3.01217 sec, avg_samples: 96.0, avg_ips: 31.87075 images/sec.
Type : transistor Train [ Epoch 8/256 iter 2 ] lr: 0.02978, loss: 0.25050, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.11200 sec, avg_samples: 96.0, avg_ips: 857.13017 images/sec.
Type : transistor Train [ Epoch 8/256 iter 3 ] lr: 0.02978, loss: 0.21330, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.04571 sec, avg_samples: 21.0, avg_ips: 459.38365 images/sec.
Type : transistor Test [ Epoch 8/256 ] test_cost: 10.010982 sec max_auc: 0.86750 roc_auc : 0.867500.
Type : transistor Train [ Epoch 9/256 iter 1 ] lr: 0.02971, loss: 0.23937, avg_reader_cost: 2.41879 sec, avg_batch_cost: 2.54869 sec, avg_samples: 96.0, avg_ips: 37.66639 images/sec.
Type : transistor Train [ Epoch 9/256 iter 2 ] lr: 0.02971, loss: 0.26208, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.11309 sec, avg_samples: 96.0, avg_ips: 848.85429 images/sec.
Type : transistor Train [ Epoch 9/256 iter 3 ] lr: 0.02971, loss: 0.25238, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.04528 sec, avg_samples: 21.0, avg_ips: 463.76159 images/sec.
Type : transistor Train [ Epoch 10/256 iter 1 ] lr: 0.02964, loss: 0.22172, avg_reader_cost: 2.73349 sec, avg_batch_cost: 2.85187 sec, avg_samples: 96.0, avg_ips: 33.66216 images/sec.
Type : transistor Train [ Epoch 10/256 iter 2 ] lr: 0.02964, loss: 0.22237, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.11196 sec, avg_samples: 96.0, avg_ips: 857.42586 images/sec.
Type : transistor Train [ Epoch 10/256 iter 3 ] lr: 0.02964, loss: 0.13014, avg_reader_cost: 0.00022 sec, avg_batch_cost: 0.04692 sec, avg_samples: 21.0, avg_ips: 447.60387 images/sec.
Type : transistor Train [ Epoch 11/256 iter 1 ] lr: 0.02955, loss: 0.18021, avg_reader_cost: 2.87776 sec, avg_batch_cost: 2.99286 sec, avg_samples: 96.0, avg_ips: 32.07638 images/sec.
Type : transistor Train [ Epoch 11/256 iter 2 ] lr: 0.02955, loss: 0.20612, avg_reader_cost: 0.00023 sec, avg_batch_cost: 0.12377 sec, avg_samples: 96.0, avg_ips: 775.64418 images/sec.
Type : transistor Train [ Epoch 11/256 iter 3 ] lr: 0.02955, loss: 0.16206, avg_reader_cost: 0.00031 sec, avg_batch_cost: 0.04769 sec, avg_samples: 21.0, avg_ips: 440.31606 images/sec.
Type : transistor Train [ Epoch 12/256 iter 1 ] lr: 0.02946, loss: 0.20682, avg_reader_cost: 2.52793 sec, avg_batch_cost: 2.64457 sec, avg_samples: 96.0, avg_ips: 36.30084 images/sec.
Type : transistor Train [ Epoch 12/256 iter 2 ] lr: 0.02946, loss: 0.16745, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.11170 sec, avg_samples: 96.0, avg_ips: 859.42615 images/sec.
Type : transistor Train [ Epoch 12/256 iter 3 ] lr: 0.02946, loss: 0.18619, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.04590 sec, avg_samples: 21.0, avg_ips: 457.48439 images/sec.
Type : transistor Train [ Epoch 13/256 iter 1 ] lr: 0.02935, loss: 0.24764, avg_reader_cost: 2.51384 sec, avg_batch_cost: 2.62640 sec, avg_samples: 96.0, avg_ips: 36.55190 images/sec.
Type : transistor Train [ Epoch 13/256 iter 2 ] lr: 0.02935, loss: 0.15937, avg_reader_cost: 0.04254 sec, avg_batch_cost: 0.15401 sec, avg_samples: 96.0, avg_ips: 623.35039 images/sec.
Type : transistor Train [ Epoch 13/256 iter 3 ] lr: 0.02935, loss: 0.25180, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.04482 sec, avg_samples: 21.0, avg_ips: 468.56502 images/sec.
Type : transistor Train [ Epoch 14/256 iter 1 ] lr: 0.02924, loss: 0.18033, avg_reader_cost: 2.56376 sec, avg_batch_cost: 2.67790 sec, avg_samples: 96.0, avg_ips: 35.84902 images/sec.
Type : transistor Train [ Epoch 14/256 iter 2 ] lr: 0.02924, loss: 0.17483, avg_reader_cost: 0.00033 sec, avg_batch_cost: 0.11342 sec, avg_samples: 96.0, avg_ips: 846.42751 images/sec.
Type : transistor Train [ Epoch 14/256 iter 3 ] lr: 0.02924, loss: 0.17173, avg_reader_cost: 0.00023 sec, avg_batch_cost: 0.04680 sec, avg_samples: 21.0, avg_ips: 448.75093 images/sec.
Type : transistor Train [ Epoch 15/256 iter 1 ] lr: 0.02912, loss: 0.24189, avg_reader_cost: 2.53810 sec, avg_batch_cost: 2.65284 sec, avg_samples: 96.0, avg_ips: 36.18760 images/sec.
Type : transistor Train [ Epoch 15/256 iter 2 ] lr: 0.02912, loss: 0.13333, avg_reader_cost: 0.00020 sec, avg_batch_cost: 0.11284 sec, avg_samples: 96.0, avg_ips: 850.76082 images/sec.
Type : transistor Train [ Epoch 15/256 iter 3 ] lr: 0.02912, loss: 0.08020, avg_reader_cost: 0.00027 sec, avg_batch_cost: 0.04664 sec, avg_samples: 21.0, avg_ips: 450.29720 images/sec.
Type : transistor Train [ Epoch 16/256 iter 1 ] lr: 0.02899, loss: 0.24316, avg_reader_cost: 2.91737 sec, avg_batch_cost: 3.03155 sec, avg_samples: 96.0, avg_ips: 31.66700 images/sec.
Type : transistor Train [ Epoch 16/256 iter 2 ] lr: 0.02899, loss: 0.20882, avg_reader_cost: 0.00021 sec, avg_batch_cost: 0.11442 sec, avg_samples: 96.0, avg_ips: 839.03035 images/sec.
Type : transistor Train [ Epoch 16/256 iter 3 ] lr: 0.02899, loss: 0.03545, avg_reader_cost: 0.00024 sec, avg_batch_cost: 0.04633 sec, avg_samples: 21.0, avg_ips: 453.26327 images/sec.
Type : transistor Test [ Epoch 16/256 ] test_cost: 10.564008 sec max_auc: 0.90792 roc_auc : 0.907917.
Type : transistor Train [ Epoch 17/256 iter 1 ] lr: 0.02886, loss: 0.14121, avg_reader_cost: 2.71396 sec, avg_batch_cost: 2.82200 sec, avg_samples: 96.0, avg_ips: 34.01849 images/sec.
