
############################
training wood
############################

Type : wood Train [ Epoch 1/256 iter 1 ] lr: 0.03000, loss: 1.59046, avg_reader_cost: 3.61244 sec, avg_batch_cost: 3.74143 sec, avg_samples: 96.0, avg_ips: 25.65866 images/sec.
Type : wood Train [ Epoch 1/256 iter 2 ] lr: 0.03000, loss: 1.37480, avg_reader_cost: 0.00036 sec, avg_batch_cost: 0.11620 sec, avg_samples: 96.0, avg_ips: 826.19251 images/sec.
Type : wood Train [ Epoch 1/256 iter 3 ] lr: 0.03000, loss: 1.12553, avg_reader_cost: 0.00025 sec, avg_batch_cost: 0.08022 sec, avg_samples: 55.0, avg_ips: 685.64934 images/sec.
Type : wood Train [ Epoch 2/256 iter 1 ] lr: 0.03000, loss: 0.93794, avg_reader_cost: 2.67003 sec, avg_batch_cost: 2.78454 sec, avg_samples: 96.0, avg_ips: 34.47607 images/sec.
Type : wood Train [ Epoch 2/256 iter 2 ] lr: 0.03000, loss: 0.78143, avg_reader_cost: 0.00021 sec, avg_batch_cost: 0.11262 sec, avg_samples: 96.0, avg_ips: 852.46111 images/sec.
Type : wood Train [ Epoch 2/256 iter 3 ] lr: 0.03000, loss: 0.68320, avg_reader_cost: 0.00028 sec, avg_batch_cost: 0.08059 sec, avg_samples: 55.0, avg_ips: 682.45663 images/sec.
Type : wood Train [ Epoch 3/256 iter 1 ] lr: 0.02998, loss: 0.51802, avg_reader_cost: 2.56117 sec, avg_batch_cost: 2.67583 sec, avg_samples: 96.0, avg_ips: 35.87673 images/sec.
Type : wood Train [ Epoch 3/256 iter 2 ] lr: 0.02998, loss: 0.41725, avg_reader_cost: 0.00028 sec, avg_batch_cost: 0.11304 sec, avg_samples: 96.0, avg_ips: 849.24100 images/sec.
Type : wood Train [ Epoch 3/256 iter 3 ] lr: 0.02998, loss: 0.33366, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.08065 sec, avg_samples: 55.0, avg_ips: 681.97444 images/sec.
Type : wood Train [ Epoch 4/256 iter 1 ] lr: 0.02996, loss: 0.32744, avg_reader_cost: 2.69198 sec, avg_batch_cost: 2.80388 sec, avg_samples: 96.0, avg_ips: 34.23823 images/sec.
Type : wood Train [ Epoch 4/256 iter 2 ] lr: 0.02996, loss: 0.24227, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.11190 sec, avg_samples: 96.0, avg_ips: 857.87159 images/sec.
Type : wood Train [ Epoch 4/256 iter 3 ] lr: 0.02996, loss: 0.24237, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.07807 sec, avg_samples: 55.0, avg_ips: 704.49018 images/sec.
Type : wood Train [ Epoch 5/256 iter 1 ] lr: 0.02993, loss: 0.22703, avg_reader_cost: 2.65177 sec, avg_batch_cost: 2.76646 sec, avg_samples: 96.0, avg_ips: 34.70140 images/sec.
Type : wood Train [ Epoch 5/256 iter 2 ] lr: 0.02993, loss: 0.21848, avg_reader_cost: 0.04413 sec, avg_batch_cost: 0.15645 sec, avg_samples: 96.0, avg_ips: 613.62286 images/sec.
Type : wood Train [ Epoch 5/256 iter 3 ] lr: 0.02993, loss: 0.17914, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.07920 sec, avg_samples: 55.0, avg_ips: 694.40238 images/sec.
Type : wood Train [ Epoch 6/256 iter 1 ] lr: 0.02989, loss: 0.17507, avg_reader_cost: 2.75729 sec, avg_batch_cost: 2.87251 sec, avg_samples: 96.0, avg_ips: 33.42021 images/sec.
Type : wood Train [ Epoch 6/256 iter 2 ] lr: 0.02989, loss: 0.15619, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.11244 sec, avg_samples: 96.0, avg_ips: 853.75165 images/sec.
Type : wood Train [ Epoch 6/256 iter 3 ] lr: 0.02989, loss: 0.11570, avg_reader_cost: 0.00023 sec, avg_batch_cost: 0.08156 sec, avg_samples: 55.0, avg_ips: 674.35103 images/sec.
Type : wood Train [ Epoch 7/256 iter 1 ] lr: 0.02984, loss: 0.14599, avg_reader_cost: 2.04394 sec, avg_batch_cost: 2.15779 sec, avg_samples: 96.0, avg_ips: 44.48998 images/sec.
Type : wood Train [ Epoch 7/256 iter 2 ] lr: 0.02984, loss: 0.18695, avg_reader_cost: 0.34537 sec, avg_batch_cost: 0.45658 sec, avg_samples: 96.0, avg_ips: 210.26012 images/sec.
Type : wood Train [ Epoch 7/256 iter 3 ] lr: 0.02984, loss: 0.12687, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.07810 sec, avg_samples: 55.0, avg_ips: 704.23641 images/sec.
Type : wood Train [ Epoch 8/256 iter 1 ] lr: 0.02978, loss: 0.12172, avg_reader_cost: 2.57827 sec, avg_batch_cost: 2.69118 sec, avg_samples: 96.0, avg_ips: 35.67204 images/sec.
Type : wood Train [ Epoch 8/256 iter 2 ] lr: 0.02978, loss: 0.18131, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.11238 sec, avg_samples: 96.0, avg_ips: 854.26063 images/sec.
Type : wood Train [ Epoch 8/256 iter 3 ] lr: 0.02978, loss: 0.10284, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.07835 sec, avg_samples: 55.0, avg_ips: 701.98838 images/sec.
Type : wood Test [ Epoch 8/256 ] test_cost: 8.513561 sec max_auc: 0.87193 roc_auc : 0.871930.
Type : wood Train [ Epoch 9/256 iter 1 ] lr: 0.02971, loss: 0.11321, avg_reader_cost: 2.53416 sec, avg_batch_cost: 2.64819 sec, avg_samples: 96.0, avg_ips: 36.25113 images/sec.
Type : wood Train [ Epoch 9/256 iter 2 ] lr: 0.02971, loss: 0.20061, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.11163 sec, avg_samples: 96.0, avg_ips: 859.95477 images/sec.
Type : wood Train [ Epoch 9/256 iter 3 ] lr: 0.02971, loss: 0.07859, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.07806 sec, avg_samples: 55.0, avg_ips: 704.54828 images/sec.
Type : wood Train [ Epoch 10/256 iter 1 ] lr: 0.02964, loss: 0.13261, avg_reader_cost: 2.53321 sec, avg_batch_cost: 2.64686 sec, avg_samples: 96.0, avg_ips: 36.26939 images/sec.
Type : wood Train [ Epoch 10/256 iter 2 ] lr: 0.02964, loss: 0.11930, avg_reader_cost: 0.00021 sec, avg_batch_cost: 0.11218 sec, avg_samples: 96.0, avg_ips: 855.74391 images/sec.
Type : wood Train [ Epoch 10/256 iter 3 ] lr: 0.02964, loss: 0.10604, avg_reader_cost: 0.00021 sec, avg_batch_cost: 0.08127 sec, avg_samples: 55.0, avg_ips: 676.73085 images/sec.
Type : wood Train [ Epoch 11/256 iter 1 ] lr: 0.02955, loss: 0.09311, avg_reader_cost: 2.58988 sec, avg_batch_cost: 2.70433 sec, avg_samples: 96.0, avg_ips: 35.49869 images/sec.
Type : wood Train [ Epoch 11/256 iter 2 ] lr: 0.02955, loss: 0.10811, avg_reader_cost: 0.00027 sec, avg_batch_cost: 0.11385 sec, avg_samples: 96.0, avg_ips: 843.24744 images/sec.
Type : wood Train [ Epoch 11/256 iter 3 ] lr: 0.02955, loss: 0.09014, avg_reader_cost: 0.00036 sec, avg_batch_cost: 0.08055 sec, avg_samples: 55.0, avg_ips: 682.76365 images/sec.
