
############################
training zipper
############################

Type : zipper Train [ Epoch 1/256 iter 1 ] lr: 0.03000, loss: 1.31414, avg_reader_cost: 3.22686 sec, avg_batch_cost: 3.35371 sec, avg_samples: 96.0, avg_ips: 28.62505 images/sec.
Type : zipper Train [ Epoch 1/256 iter 2 ] lr: 0.03000, loss: 1.14548, avg_reader_cost: 0.05656 sec, avg_batch_cost: 0.16858 sec, avg_samples: 96.0, avg_ips: 569.44869 images/sec.
Type : zipper Train [ Epoch 1/256 iter 3 ] lr: 0.03000, loss: 0.98058, avg_reader_cost: 0.00021 sec, avg_batch_cost: 0.07128 sec, avg_samples: 48.0, avg_ips: 673.36912 images/sec.
Type : zipper Train [ Epoch 2/256 iter 1 ] lr: 0.03000, loss: 0.86860, avg_reader_cost: 2.44297 sec, avg_batch_cost: 2.55667 sec, avg_samples: 96.0, avg_ips: 37.54888 images/sec.
Type : zipper Train [ Epoch 2/256 iter 2 ] lr: 0.03000, loss: 0.71170, avg_reader_cost: 0.00024 sec, avg_batch_cost: 0.11386 sec, avg_samples: 96.0, avg_ips: 843.13620 images/sec.
Type : zipper Train [ Epoch 2/256 iter 3 ] lr: 0.03000, loss: 0.72534, avg_reader_cost: 0.00062 sec, avg_batch_cost: 0.07469 sec, avg_samples: 48.0, avg_ips: 642.61440 images/sec.
Type : zipper Train [ Epoch 3/256 iter 1 ] lr: 0.02998, loss: 0.58563, avg_reader_cost: 2.50253 sec, avg_batch_cost: 2.61826 sec, avg_samples: 96.0, avg_ips: 36.66564 images/sec.
Type : zipper Train [ Epoch 3/256 iter 2 ] lr: 0.02998, loss: 0.63480, avg_reader_cost: 0.00045 sec, avg_batch_cost: 0.11601 sec, avg_samples: 96.0, avg_ips: 827.49141 images/sec.
Type : zipper Train [ Epoch 3/256 iter 3 ] lr: 0.02998, loss: 0.55416, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.07126 sec, avg_samples: 48.0, avg_ips: 673.62371 images/sec.
Type : zipper Train [ Epoch 4/256 iter 1 ] lr: 0.02996, loss: 0.67087, avg_reader_cost: 2.40789 sec, avg_batch_cost: 2.52834 sec, avg_samples: 96.0, avg_ips: 37.96951 images/sec.
Type : zipper Train [ Epoch 4/256 iter 2 ] lr: 0.02996, loss: 0.70300, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.11365 sec, avg_samples: 96.0, avg_ips: 844.69802 images/sec.
Type : zipper Train [ Epoch 4/256 iter 3 ] lr: 0.02996, loss: 0.57625, avg_reader_cost: 0.00031 sec, avg_batch_cost: 0.07299 sec, avg_samples: 48.0, avg_ips: 657.58620 images/sec.
Type : zipper Train [ Epoch 5/256 iter 1 ] lr: 0.02993, loss: 0.56108, avg_reader_cost: 2.30378 sec, avg_batch_cost: 2.41692 sec, avg_samples: 96.0, avg_ips: 39.71993 images/sec.
Type : zipper Train [ Epoch 5/256 iter 2 ] lr: 0.02993, loss: 0.59469, avg_reader_cost: 0.00025 sec, avg_batch_cost: 0.11404 sec, avg_samples: 96.0, avg_ips: 841.78073 images/sec.
Type : zipper Train [ Epoch 5/256 iter 3 ] lr: 0.02993, loss: 0.53263, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.07360 sec, avg_samples: 48.0, avg_ips: 652.14597 images/sec.
